t x y
4.47 3.4619 9.28405
4.48 3.20207 9.31479
4.49 2.9612 9.32225
4.5 2.73854 9.30812
4.51 2.53325 9.27416
4.52 2.34434 9.22214
4.53 2.17083 9.15382
4.54 2.01169 9.07091
4.55 1.86588 8.97505
4.56 1.7324 8.86784
4.57 1.61028 8.75071
4.58 1.49859 8.62506
4.59 1.39644 8.49213
4.6 1.30304 8.35307
4.61 1.2176 8.20897
4.62 1.13944 8.06075
4.63 1.06789 7.90928
4.64 1.00235 7.75537
4.65 0.942312 7.59966
4.66 0.887246 7.4428
4.67 0.836708 7.28534
4.68 0.790303 7.12775
4.69 0.747643 6.97046
4.7 0.708391 6.81387
4.71 0.672258 6.65828
4.72 0.638957 6.50398
4.73 0.60823 6.35123
4.74 0.579865 6.20024
4.75 0.55366 6.05117
4.76 0.529415 5.90422
4.77 0.506967 5.75949
4.78 0.486175 5.61708
4.79 0.466898 5.4771
4.8 0.449 5.33962
4.81 0.432375 5.2047
4.82 0.416928 5.07236
4.83 0.402563 4.94265
4.84 0.389188 4.8156
4.85 0.376726 4.69121
4.86 0.365115 4.56948
4.87 0.354293 4.4504
4.88 0.344198 4.33398
4.89 0.334769 4.22019
4.9 0.325962 4.10902
4.91 0.317737 4.00044
4.92 0.310057 3.89441
4.93 0.302884 3.79091
4.94 0.296178 3.6899
4.95 0.289905 3.59135
4.96 0.28404 3.49523
4.97 0.278558 3.40148
4.98 0.273437 3.31008
4.99 0.268655 3.22097
5 0.264188 3.13411
5.01 0.260016 3.04946
5.02 0.256123 2.96699
5.03 0.252494 2.88663
5.04 0.249116 2.80835
5.05 0.245973 2.73211
5.06 0.243053 2.65785
5.07 0.240341 2.58554
5.08 0.237829 2.51513
5.09 0.235508 2.44658
5.1 0.233369 2.37985
5.11 0.231401 2.31488
5.12 0.229595 2.25165
5.13 0.227946 2.19011
5.14 0.226446 2.13021
5.15 0.225089 2.07193
5.16 0.22387 2.01521
5.17 0.222782 1.96003
5.18 0.221819 1.90633
5.19 0.220977 1.85409
5.2 0.220252 1.80327
5.21 0.21964 1.75383
5.22 0.219136 1.70573
5.23 0.218737 1.65895
5.24 0.21844 1.61344
5.25 0.21824 1.56918
5.26 0.218137 1.52613
5.27 0.218126 1.48426
5.28 0.218205 1.44354
5.29 0.218372 1.40394
5.3 0.218624 1.36542
5.31 0.218959 1.32797
5.32 0.219376 1.29155
5.33 0.219873 1.25614
5.34 0.220448 1.2217
5.35 0.2211 1.18821
5.36 0.221826 1.15565
5.37 0.222627 1.12399
5.38 0.2235 1.09321
5.39 0.224445 1.06328
5.4 0.225461 1.03418
5.41 0.226545 1.00588
5.42 0.227699 0.978373
5.43 0.22892 0.951628
5.44 0.230209 0.925626
5.45 0.231565 0.900347
5.46 0.232986 0.875769
5.47 0.234473 0.851874
